date,medicine,sale
2024-01-01,Coartem,19
2024-01-01,Chloroquine,15
2024-01-01,Fansidar,12
2024-01-01,Artheget,14
2024-01-01,Amdaquin,12
2024-01-01,Basoquin,11
2024-01-01,Gen-M,11
2024-01-01,Primaquine,10
2024-01-01,Quinine,6
2024-01-01,Mefloquine,4
2024-01-01,Artesunate,5
2024-01-01,Arteether,4
2024-01-01,Sulfadoxine-Pyrimethamine,3
2024-01-01,Artemisinin,3
2024-01-01,Artequin,2
2024-01-02,Coartem,15
2024-01-02,Chloroquine,21
2024-01-02,Fansidar,13
2024-01-02,Artheget,2
2024-01-02,Amdaquin,11
2024-01-02,Basoquin,10
2024-01-02,Gen-M,15
2024-01-02,Primaquine,8
2024-01-02,Quinine,6
2024-01-02,Mefloquine,5
2024-01-02,Artesunate,6
2024-01-02,Arteether,6
2024-01-02,Sulfadoxine-Pyrimethamine,3
2024-01-02,Artemisinin,4
2024-01-02,Artequin,2
2024-01-03,Coartem,20
2024-01-03,Chloroquine,15
2024-01-03,Fansidar,19
2024-01-03,Artheget,12
2024-01-03,Amdaquin,8
2024-01-03,Basoquin,10
2024-01-03,Gen-M,11
2024-01-03,Primaquine,5
2024-01-03,Quinine,9
2024-01-03,Mefloquine,6
2024-01-03,Artesunate,3
2024-01-03,Arteether,4
2024-01-03,Sulfadoxine-Pyrimethamine,3
2024-01-03,Artemisinin,3
2024-01-03,Artequin,1
2024-01-04,Coartem,25
2024-01-04,Chloroquine,25
2024-01-04,Fansidar,7
2024-01-04,Artheget,15
2024-01-04,Amdaquin,7
2024-01-04,Basoquin,11
2024-01-04,Gen-M,8
2024-01-04,Primaquine,8
2024-01-04,Quinine,10
2024-01-04,Mefloquine,3
2024-01-04,Artesunate,7
2024-01-04,Arteether,5
2024-01-04,Sulfadoxine-Pyrimethamine,4
2024-01-04,Artemisinin,2
2024-01-04,Artequin,2
2024-01-05,Coartem,14
2024-01-05,Chloroquine,24
2024-01-05,Fansidar,16
2024-01-05,Artheget,5
2024-01-05,Amdaquin,7
2024-01-05,Basoquin,12
2024-01-05,Gen-M,5
2024-01-05,Primaquine,8
2024-01-05,Quinine,4
2024-01-05,Mefloquine,9
2024-01-05,Artesunate,3
2024-01-05,Arteether,4
2024-01-05,Sulfadoxine-Pyrimethamine,5
2024-01-05,Artemisinin,4
2024-01-05,Artequin,2
2024-01-06,Coartem,14
2024-01-06,Chloroquine,13
2024-01-06,Fansidar,11
2024-01-06,Artheget,17
2024-01-06,Amdaquin,5
2024-01-06,Basoquin,10
2024-01-06,Gen-M,13
2024-01-06,Primaquine,11
2024-01-06,Quinine,7
2024-01-06,Mefloquine,6
2024-01-06,Artesunate,4
2024-01-06,Arteether,3
2024-01-06,Sulfadoxine-Pyrimethamine,3
2024-01-06,Artemisinin,2
2024-01-06,Artequin,1
2024-01-07,Coartem,26
2024-01-07,Chloroquine,20
2024-01-07,Fansidar,11
2024-01-07,Artheget,12
2024-01-07,Amdaquin,15
2024-01-07,Basoquin,12
2024-01-07,Gen-M,5
2024-01-07,Primaquine,6
2024-01-07,Quinine,6
2024-01-07,Mefloquine,9
2024-01-07,Artesunate,5
2024-01-07,Arteether,5
2024-01-07,Sulfadoxine-Pyrimethamine,2
2024-01-07,Artemisinin,2
2024-01-07,Artequin,2
2024-01-08,Coartem,21
2024-01-08,Chloroquine,18
2024-01-08,Fansidar,15
2024-01-08,Artheget,8
2024-01-08,Amdaquin,8
2024-01-08,Basoquin,18
2024-01-08,Gen-M,15
2024-01-08,Primaquine,11
2024-01-08,Quinine,8
2024-01-08,Mefloquine,6
2024-01-08,Artesunate,6
2024-01-08,Arteether,4
2024-01-08,Sulfadoxine-Pyrimethamine,5
2024-01-08,Artemisinin,3
2024-01-08,Artequin,2
2024-01-09,Coartem,12
2024-01-09,Chloroquine,22
2024-01-09,Fansidar,6
2024-01-09,Artheget,10
2024-01-09,Amdaquin,13
2024-01-09,Basoquin,15
2024-01-09,Gen-M,8
2024-01-09,Primaquine,8
2024-01-09,Quinine,7
2024-01-09,Mefloquine,5
2024-01-09,Artesunate,4
2024-01-09,Arteether,4
2024-01-09,Sulfadoxine-Pyrimethamine,4
2024-01-09,Artemisinin,2
2024-01-09,Artequin,1
2024-01-10,Coartem,20
2024-01-10,Chloroquine,9
2024-01-10,Fansidar,14
2024-01-10,Artheget,13
2024-01-10,Amdaquin,15
2024-01-10,Basoquin,15
2024-01-10,Gen-M,15
2024-01-10,Primaquine,6
2024-01-10,Quinine,11
2024-01-10,Mefloquine,5
2024-01-10,Artesunate,5
2024-01-10,Arteether,3
2024-01-10,Sulfadoxine-Pyrimethamine,6
2024-01-10,Artemisinin,4
2024-01-10,Artequin,2
2024-01-11,Coartem,12
2024-01-11,Chloroquine,18
2024-01-11,Fansidar,12
2024-01-11,Artheget,10
2024-01-11,Amdaquin,12
2024-01-11,Basoquin,9
2024-01-11,Gen-M,11
2024-01-11,Primaquine,5
2024-01-11,Quinine,7
2024-01-11,Mefloquine,8
2024-01-11,Artesunate,5
2024-01-11,Arteether,4
2024-01-11,Sulfadoxine-Pyrimethamine,1
2024-01-11,Artemisinin,2
2024-01-11,Artequin,2
2024-01-12,Coartem,13
2024-01-12,Chloroquine,20
2024-01-12,Fansidar,14
2024-01-12,Artheget,13
2024-01-12,Amdaquin,7
2024-01-12,Basoquin,7
2024-01-12,Gen-M,8
2024-01-12,Primaquine,13
2024-01-12,Quinine,11
2024-01-12,Mefloquine,5
2024-01-12,Artesunate,5
2024-01-12,Arteether,4
2024-01-12,Sulfadoxine-Pyrimethamine,4
2024-01-12,Artemisinin,3
2024-01-12,Artequin,1
2024-01-13,Coartem,17
2024-01-13,Chloroquine,5
2024-01-13,Fansidar,13
2024-01-13,Artheget,6
2024-01-13,Amdaquin,10
2024-01-13,Basoquin,15
2024-01-13,Gen-M,7
2024-01-13,Primaquine,8
2024-01-13,Quinine,7
2024-01-13,Mefloquine,8
2024-01-13,Artesunate,4
2024-01-13,Arteether,4
2024-01-13,Sulfadoxine-Pyrimethamine,6
2024-01-13,Artemisinin,4
2024-01-13,Artequin,3
2024-01-14,Coartem,3
2024-01-14,Chloroquine,7
2024-01-14,Fansidar,23
2024-01-14,Artheget,11
2024-01-14,Amdaquin,8
2024-01-14,Basoquin,14
2024-01-14,Gen-M,7
2024-01-14,Primaquine,11
2024-01-14,Quinine,9
2024-01-14,Mefloquine,6
2024-01-14,Artesunate,5
2024-01-14,Arteether,4
2024-01-14,Sulfadoxine-Pyrimethamine,3
2024-01-14,Artemisinin,2
2024-01-14,Artequin,3
2024-01-15,Coartem,5
2024-01-15,Chloroquine,3
2024-01-15,Fansidar,8
2024-01-15,Artheget,4
2024-01-15,Amdaquin,5
2024-01-15,Basoquin,17
2024-01-15,Gen-M,10
2024-01-15,Primaquine,4
2024-01-15,Quinine,8
2024-01-15,Mefloquine,2
2024-01-15,Artesunate,7
2024-01-15,Arteether,3
2024-01-15,Sulfadoxine-Pyrimethamine,3
2024-01-15,Artemisinin,3
2024-01-15,Artequin,1
2024-01-16,Coartem,12
2024-01-16,Chloroquine,13
2024-01-16,Fansidar,9
2024-01-16,Artheget,10
2024-01-16,Amdaquin,10
2024-01-16,Basoquin,8
2024-01-16,Gen-M,9
2024-01-16,Primaquine,15
2024-01-16,Quinine,11
2024-01-16,Mefloquine,5
2024-01-16,Artesunate,3
2024-01-16,Arteether,4
2024-01-16,Sulfadoxine-Pyrimethamine,4
2024-01-16,Artemisinin,2
2024-01-16,Artequin,2
2024-01-17,Coartem,9
2024-01-17,Chloroquine,18
2024-01-17,Fansidar,8
2024-01-17,Artheget,6
2024-01-17,Amdaquin,4
2024-01-17,Basoquin,10
2024-01-17,Gen-M,6
2024-01-17,Primaquine,10
2024-01-17,Quinine,4
2024-01-17,Mefloquine,4
2024-01-17,Artesunate,3
2024-01-17,Arteether,3
2024-01-17,Sulfadoxine-Pyrimethamine,3
2024-01-17,Artemisinin,3
2024-01-17,Artequin,2
2024-01-18,Coartem,17
2024-01-18,Chloroquine,22
2024-01-18,Fansidar,9
2024-01-18,Artheget,7
2024-01-18,Amdaquin,13
2024-01-18,Basoquin,4
2024-01-18,Gen-M,8
2024-01-18,Primaquine,8
2024-01-18,Quinine,4
2024-01-18,Mefloquine,6
2024-01-18,Artesunate,5
2024-01-18,Arteether,2
2024-01-18,Sulfadoxine-Pyrimethamine,3
2024-01-18,Artemisinin,3
2024-01-18,Artequin,3
2024-01-19,Coartem,10
2024-01-19,Chloroquine,14
2024-01-19,Fansidar,8
2024-01-19,Artheget,15
2024-01-19,Amdaquin,7
2024-01-19,Basoquin,9
2024-01-19,Gen-M,9
2024-01-19,Primaquine,7
2024-01-19,Quinine,11
2024-01-19,Mefloquine,4
2024-01-19,Artesunate,3
2024-01-19,Arteether,1
2024-01-19,Sulfadoxine-Pyrimethamine,3
2024-01-19,Artemisinin,3
2024-01-19,Artequin,1
2024-01-20,Coartem,7
2024-01-20,Chloroquine,23
2024-01-20,Fansidar,17
2024-01-20,Artheget,15
2024-01-20,Amdaquin,9
2024-01-20,Basoquin,15
2024-01-20,Gen-M,1
2024-01-20,Primaquine,10
2024-01-20,Quinine,6
2024-01-20,Mefloquine,8
2024-01-20,Artesunate,2
2024-01-20,Arteether,4
2024-01-20,Sulfadoxine-Pyrimethamine,3
2024-01-20,Artemisinin,3
2024-01-20,Artequin,1
2024-01-21,Coartem,25
2024-01-21,Chloroquine,6
2024-01-21,Fansidar,18
2024-01-21,Artheget,13
2024-01-21,Amdaquin,10
2024-01-21,Basoquin,9
2024-01-21,Gen-M,10
2024-01-21,Primaquine,10
2024-01-21,Quinine,6
2024-01-21,Mefloquine,6
2024-01-21,Artesunate,6
2024-01-21,Arteether,3
2024-01-21,Sulfadoxine-Pyrimethamine,5
2024-01-21,Artemisinin,3
2024-01-21,Artequin,1
2024-01-22,Coartem,14
2024-01-22,Chloroquine,5
2024-01-22,Fansidar,9
2024-01-22,Artheget,6
2024-01-22,Amdaquin,8
