date,brand_name,total_sales
1/1/2024,BL BioLyte ORS (Lemon),8
2/1/2024,BL BioLyte ORS (Lemon),6
3/1/2024,BL BioLyte ORS (Lemon),16
4/1/2024,BL BioLyte ORS (Lemon),12
5/1/2024,BL BioLyte ORS (Lemon),13
6/1/2024,BL BioLyte ORS (Lemon),10
7/1/2024,BL BioLyte ORS (Lemon),7
8/1/2024,BL BioLyte ORS (Lemon),5
9/1/2024,BL BioLyte ORS (Lemon),16
10/1/2024,BL BioLyte ORS (Lemon),11
11/1/2024,BL BioLyte ORS (Lemon),5
12/1/2024,BL BioLyte ORS (Lemon),4
13/01/2024,BL BioLyte ORS (Lemon),13
14/01/2024,BL BioLyte ORS (Lemon),6
15/01/2024,BL BioLyte ORS (Lemon),4
16/01/2024,BL BioLyte ORS (Lemon),11
17/01/2024,BL BioLyte ORS (Lemon),9
18/01/2024,BL BioLyte ORS (Lemon),13
19/01/2024,BL BioLyte ORS (Lemon),8
20/01/2024,BL BioLyte ORS (Lemon),6
21/01/2024,BL BioLyte ORS (Lemon),6
22/01/2024,BL BioLyte ORS (Lemon),6
23/01/2024,BL BioLyte ORS (Lemon),1
24/01/2024,BL BioLyte ORS (Lemon),6
25/01/2024,BL BioLyte ORS (Lemon),7
26/01/2024,BL BioLyte ORS (Lemon),4
27/01/2024,BL BioLyte ORS (Lemon),14
28/01/2024,BL BioLyte ORS (Lemon),10
29/01/2024,BL BioLyte ORS (Lemon),10
30/01/2024,BL BioLyte ORS (Lemon),12
31/01/2024,BL BioLyte ORS (Lemon),9
1/2/2024,BL BioLyte ORS (Lemon),10
2/2/2024,BL BioLyte ORS (Lemon),0
3/2/2024,BL BioLyte ORS (Lemon),10
4/2/2024,BL BioLyte ORS (Lemon),12
5/2/2024,BL BioLyte ORS (Lemon),5
6/2/2024,BL BioLyte ORS (Lemon),14
7/2/2024,BL BioLyte ORS (Lemon),11
8/2/2024,BL BioLyte ORS (Lemon),13
9/2/2024,BL BioLyte ORS (Lemon),7
10/2/2024,BL BioLyte ORS (Lemon),12
11/2/2024,BL BioLyte ORS (Lemon),9
12/2/2024,BL BioLyte ORS (Lemon),12
13/02/2024,BL BioLyte ORS (Lemon),8
14/02/2024,BL BioLyte ORS (Lemon),10
15/02/2024,BL BioLyte ORS (Lemon),8
16/02/2024,BL BioLyte ORS (Lemon),2
17/02/2024,BL BioLyte ORS (Lemon),17
18/02/2024,BL BioLyte ORS (Lemon),13
19/02/2024,BL BioLyte ORS (Lemon),9
20/02/2024,BL BioLyte ORS (Lemon),9
21/02/2024,BL BioLyte ORS (Lemon),8
22/02/2024,BL BioLyte ORS (Lemon),6
23/02/2024,BL BioLyte ORS (Lemon),6
24/02/2024,BL BioLyte ORS (Lemon),2
25/02/2024,BL BioLyte ORS (Lemon),11
26/02/2024,BL BioLyte ORS (Lemon),13
27/02/2024,BL BioLyte ORS (Lemon),4
28/02/2024,BL BioLyte ORS (Lemon),11
29/02/2024,BL BioLyte ORS (Lemon),18
1/3/2024,BL BioLyte ORS (Lemon),9
2/3/2024,BL BioLyte ORS (Lemon),7
3/3/2024,BL BioLyte ORS (Lemon),10
4/3/2024,BL BioLyte ORS (Lemon),8
5/3/2024,BL BioLyte ORS (Lemon),5
6/3/2024,BL BioLyte ORS (Lemon),15
7/3/2024,BL BioLyte ORS (Lemon),9
8/3/2024,BL BioLyte ORS (Lemon),12
9/3/2024,BL BioLyte ORS (Lemon),11
10/3/2024,BL BioLyte ORS (Lemon),8
11/3/2024,BL BioLyte ORS (Lemon),9
12/3/2024,BL BioLyte ORS (Lemon),11
13/03/2024,BL BioLyte ORS (Lemon),5
14/03/2024,BL BioLyte ORS (Lemon),12
15/03/2024,BL BioLyte ORS (Lemon),12
16/03/2024,BL BioLyte ORS (Lemon),5
17/03/2024,BL BioLyte ORS (Lemon),6
18/03/2024,BL BioLyte ORS (Lemon),6
19/03/2024,BL BioLyte ORS (Lemon),10
20/03/2024,BL BioLyte ORS (Lemon),10
21/03/2024,BL BioLyte ORS (Lemon),18
22/03/2024,BL BioLyte ORS (Lemon),9
23/03/2024,BL BioLyte ORS (Lemon),6
24/03/2024,BL BioLyte ORS (Lemon),10
25/03/2024,BL BioLyte ORS (Lemon),12
26/03/2024,BL BioLyte ORS (Lemon),10
27/03/2024,BL BioLyte ORS (Lemon),16
28/03/2024,BL BioLyte ORS (Lemon),13
29/03/2024,BL BioLyte ORS (Lemon),9
30/03/2024,BL BioLyte ORS (Lemon),9
31/03/2024,BL BioLyte ORS (Lemon),16
1/4/2024,BL BioLyte ORS (Lemon),6
2/4/2024,BL BioLyte ORS (Lemon),14
3/4/2024,BL BioLyte ORS (Lemon),1
4/4/2024,BL BioLyte ORS (Lemon),12
5/4/2024,BL BioLyte ORS (Lemon),7
6/4/2024,BL BioLyte ORS (Lemon),16
7/4/2024,BL BioLyte ORS (Lemon),6
8/4/2024,BL BioLyte ORS (Lemon),11
9/4/2024,BL BioLyte ORS (Lemon),12
10/4/2024,BL BioLyte ORS (Lemon),13
11/4/2024,BL BioLyte ORS (Lemon),17
12/4/2024,BL BioLyte ORS (Lemon),13
13/04/2024,BL BioLyte ORS (Lemon),6
14/04/2024,BL BioLyte ORS (Lemon),17
15/04/2024,BL BioLyte ORS (Lemon),10
16/04/2024,BL BioLyte ORS (Lemon),14
17/04/2024,BL BioLyte ORS (Lemon),12
18/04/2024,BL BioLyte ORS (Lemon),7
19/04/2024,BL BioLyte ORS (Lemon),11
20/04/2024,BL BioLyte ORS (Lemon),7
21/04/2024,BL BioLyte ORS (Lemon),13
22/04/2024,BL BioLyte ORS (Lemon),9
23/04/2024,BL BioLyte ORS (Lemon),6
24/04/2024,BL BioLyte ORS (Lemon),5
25/04/2024,BL BioLyte ORS (Lemon),12
26/04/2024,BL BioLyte ORS (Lemon),16
27/04/2024,BL BioLyte ORS (Lemon),13
28/04/2024,BL BioLyte ORS (Lemon),2
29/04/2024,BL BioLyte ORS (Lemon),8
30/04/2024,BL BioLyte ORS (Lemon),18
1/5/2024,BL BioLyte ORS (Lemon),8
2/5/2024,BL BioLyte ORS (Lemon),12
3/5/2024,BL BioLyte ORS (Lemon),10
4/5/2024,BL BioLyte ORS (Lemon),14
5/5/2024,BL BioLyte ORS (Lemon),1
6/5/2024,BL BioLyte ORS (Lemon),6
7/5/2024,BL BioLyte ORS (Lemon),5
8/5/2024,BL BioLyte ORS (Lemon),16
9/5/2024,BL BioLyte ORS (Lemon),10
10/5/2024,BL BioLyte ORS (Lemon),17
11/5/2024,BL BioLyte ORS (Lemon),12
12/5/2024,BL BioLyte ORS (Lemon),13
13/05/2024,BL BioLyte ORS (Lemon),2
14/05/2024,BL BioLyte ORS (Lemon),8
15/05/2024,BL BioLyte ORS (Lemon),8
16/05/2024,BL BioLyte ORS (Lemon),5
17/05/2024,BL BioLyte ORS (Lemon),12
18/05/2024,BL BioLyte ORS (Lemon),9
19/05/2024,BL BioLyte ORS (Lemon),9
20/05/2024,BL BioLyte ORS (Lemon),5
21/05/2024,BL BioLyte ORS (Lemon),15
22/05/2024,BL BioLyte ORS (Lemon),17
23/05/2024,BL BioLyte ORS (Lemon),15
24/05/2024,BL BioLyte ORS (Lemon),9
25/05/2024,BL BioLyte ORS (Lemon),8
26/05/2024,BL BioLyte ORS (Lemon),22
27/05/2024,BL BioLyte ORS (Lemon),7
28/05/2024,BL BioLyte ORS (Lemon),5
29/05/2024,BL BioLyte ORS (Lemon),13
30/05/2024,BL BioLyte ORS (Lemon),3
31/05/2024,BL BioLyte ORS (Lemon),20
1/6/2024,BL BioLyte ORS (Lemon),10
2/6/2024,BL BioLyte ORS (Lemon),3
3/6/2024,BL BioLyte ORS (Lemon),11
4/6/2024,BL BioLyte ORS (Lemon),8
5/6/2024,BL BioLyte ORS (Lemon),9
6/6/2024,BL BioLyte ORS (Lemon),12
7/6/2024,BL BioLyte ORS (Lemon),0
8/6/2024,BL BioLyte ORS (Lemon),10
9/6/2024,BL BioLyte ORS (Lemon),14
10/6/2024,BL BioLyte ORS (Lemon),9
11/6/2024,BL BioLyte ORS (Lemon),9
12/6/2024,BL BioLyte ORS (Lemon),5
13/06/2024,BL BioLyte ORS (Lemon),9
14/06/2024,BL BioLyte ORS (Lemon),7
15/06/2024,BL BioLyte ORS (Lemon),12
16/06/2024,BL BioLyte ORS (Lemon),9
17/06/2024,BL BioLyte ORS (Lemon),8
18/06/2024,BL BioLyte ORS (Lemon),10
19/06/2024,BL BioLyte ORS (Lemon),6
20/06/2024,BL BioLyte ORS (Lemon),12
21/06/2024,BL BioLyte ORS (Lemon),13
22/06/2024,BL BioLyte ORS (Lemon),12
23/06/2024,BL BioLyte ORS (Lemon),7
24/06/2024,BL BioLyte ORS (Lemon),13
25/06/2024,BL BioLyte ORS (Lemon),9
26/06/2024,BL BioLyte ORS (Lemon),14
27/06/2024,BL BioLyte ORS (Lemon),13
28/06/2024,BL BioLyte ORS (Lemon),2
29/06/2024,BL BioLyte ORS (Lemon),8
30/06/2024,BL BioLyte ORS (Lemon),11
1/7/2024,BL BioLyte ORS (Lemon),17
2/7/2024,BL BioLyte ORS (Lemon),8
3/7/2024,BL BioLyte ORS (Lemon),7
4/7/2024,BL BioLyte ORS (Lemon),20
5/7/2024,BL BioLyte ORS (Lemon),20
6/7/2024,BL BioLyte ORS (Lemon),11
7/7/2024,BL BioLyte ORS (Lemon),15
8/7/2024,BL BioLyte ORS (Lemon),8
9/7/2024,BL BioLyte ORS (Lemon),12
10/7/2024,BL BioLyte ORS (Lemon),14
11/7/2024,BL BioLyte ORS (Lemon),20
12/7/2024,BL BioLyte ORS (Lemon),11
13/07/2024,BL BioLyte ORS (Lemon),16
14/07/2024,BL BioLyte ORS (Lemon),5
15/07/2024,BL BioLyte ORS (Lemon),19
16/07/2024,BL BioLyte ORS (Lemon),14
17/07/2024,BL BioLyte ORS (Lemon),9
18/07/2024,BL BioLyte ORS (Lemon),6
19/07/2024,BL BioLyte ORS (Lemon),15
20/07/2024,BL BioLyte ORS (Lemon),13
21/07/2024,BL BioLyte ORS (Lemon),7
22/07/2024,BL BioLyte ORS (Lemon),12
23/07/2024,BL BioLyte ORS (Lemon),17
24/07/2024,BL BioLyte ORS (Lemon),12
25/07/2024,BL BioLyte ORS (Lemon),11
26/07/2024,BL BioLyte ORS (Lemon),9
27/07/2024,BL BioLyte ORS (Lemon),23
28/07/2024,BL BioLyte ORS (Lemon),11
29/07/2024,BL BioLyte ORS (Lemon),19
30/07/2024,BL BioLyte ORS (Lemon),8
31/07/2024,BL BioLyte ORS (Lemon),11
1/8/2024,BL BioLyte ORS (Lemon),3
2/8/2024,BL BioLyte ORS (Lemon),4
3/8/2024,BL BioLyte ORS (Lemon),10
4/8/2024,BL BioLyte ORS (Lemon),10
5/8/2024,BL BioLyte ORS (Lemon),16
6/8/2024,BL BioLyte ORS (Lemon),15
7/8/2024,BL BioLyte ORS (Lemon),24
8/8/2024,BL BioLyte ORS (Lemon),15
9/8/2024,BL BioLyte ORS (Lemon),10
10/8/2024,BL BioLyte ORS (Lemon),15
11/8/2024,BL BioLyte ORS (Lemon),11
12/8/2024,BL BioLyte ORS (Lemon),15
13/08/2024,BL BioLyte ORS (Lemon),13
14/08/2024,BL BioLyte ORS (Lemon),10
15/08/2024,BL BioLyte ORS (Lemon),16
16/08/2024,BL BioLyte ORS (Lemon),17
17/08/2024,BL BioLyte ORS (Lemon),7
18/08/2024,BL BioLyte ORS (Lemon),7
19/08/2024,BL BioLyte ORS (Lemon),11
20/08/2024,BL BioLyte ORS (Lemon),23
21/08/2024,BL BioLyte ORS (Lemon),11
22/08/2024,BL BioLyte ORS (Lemon),17
23/08/2024,BL BioLyte ORS (Lemon),9
24/08/2024,BL BioLyte ORS (Lemon),16
25/08/2024,BL BioLyte ORS (Lemon),9
26/08/2024,BL BioLyte ORS (Lemon),14
27/08/2024,BL BioLyte ORS (Lemon),21
28/08/2024,BL BioLyte ORS (Lemon),16
29/08/2024,BL BioLyte ORS (Lemon),12
30/08/2024,BL BioLyte ORS (Lemon),20
31/08/2024,BL BioLyte ORS (Lemon),12
1/9/2024,BL BioLyte ORS (Lemon),11
2/9/2024,BL BioLyte ORS (Lemon),12
3/9/2024,BL BioLyte ORS (Lemon),7
4/9/2024,BL BioLyte ORS (Lemon),5
5/9/2024,BL BioLyte ORS (Lemon),16
6/9/2024,BL BioLyte ORS (Lemon),16
7/9/2024,BL BioLyte ORS (Lemon),18
8/9/2024,BL BioLyte ORS (Lemon),2
